filename,split
image(1).jpg,train
image(2).jpg,train
image(3).jpg,train
image(4).jpg,train
image(5).jpg,train
image(8).jpg,train
image(10).jpg,train
image(11).jpg,train
image(12).jpg,train
image(13).jpg,train
image(17).jpg,train
image(18).jpg,train
image(20).jpg,train
image(22).jpg,train
image(23).jpg,train
image(26).jpg,train
image(28).jpg,train
image(29).jpg,train
image(30).jpg,train
image(31).jpg,train
image(32).jpg,train
image(33).jpg,train
image(35).jpg,train
image(37).jpg,train
image(38).jpg,train
image(40).jpg,train
image(41).jpg,train
image(42).jpg,train
image(44).jpg,train
image(46).jpg,train
image(49).jpg,train
image(51).jpg,train
image(55).jpg,train
image(56).jpg,train
image(57).jpg,train
image(58).jpg,train
image(59).jpg,train
image(60).jpg,train
image(61).jpg,train
image(62).jpg,train
image(63).jpg,train
image(64).jpg,train
image(65).jpg,train
image(66).jpg,train
image(68).jpg,train
image(70).jpg,train
image(71).jpg,train
image(72).jpg,train
image(74).jpg,train
image(75).jpg,train
image(77).jpg,train
image(79).jpg,train
image(80).jpg,train
image(81).jpg,train
image(82).jpg,train
image(85).jpg,train
image(86).jpg,train
image(88).jpg,train
image(89).jpg,train
image(90).jpg,train
image(91).jpg,train
image(92).jpg,train
image(94).jpg,train
image(95).jpg,train
image(96).jpg,train
image(98).jpg,train
image(99).jpg,train
image(100).jpg,train
image(101).jpg,train
image(102).jpg,train
image(105).jpg,train
image(106).jpg,train
image(107).jpg,train
image(109).jpg,train
image(110).jpg,train
image(115).jpg,train
image(116).jpg,train
image(117).jpg,train
image(118).jpg,train
image(122).jpg,train
image(123).jpg,train
image(126).jpg,train
image(127).jpg,train
image(128).jpg,train
image(129).jpg,train
image(132).jpg,train
image(133).jpg,train
image(136).jpg,train
image(139).jpg,train
image(140).jpg,train
image(141).jpg,train
image(142).jpg,train
image(143).jpg,train
image(145).jpg,train
image(146).jpg,train
image(149).jpg,train
image(150).jpg,train
image(151).jpg,train
image(153).jpg,train
image(154).jpg,train
image(155).jpg,train
image(156).jpg,train
image(157).jpg,train
image(159).jpg,train
image(160).jpg,train
image(162).jpg,train
image(163).jpg,train
image(164).jpg,train
image(165).jpg,train
image(6).jpg,val
image(7).jpg,val
image(9).jpg,val
image(14).jpg,val
image(16).jpg,val
image(19).jpg,val
image(24).jpg,val
image(25).jpg,val
image(27).jpg,val
image(39).jpg,val
image(45).jpg,val
image(48).jpg,val
image(52).jpg,val
image(67).jpg,val
image(69).jpg,val
image(73).jpg,val
image(83).jpg,val
image(84).jpg,val
image(97).jpg,val
image(104).jpg,val
image(111).jpg,val
image(125).jpg,val
image(131).jpg,val
image(134).jpg,val
image(135).jpg,val
image(137).jpg,val
image(138).jpg,val
image(161).jpg,val
