filename,split
image(1).jpg,train
image(3).jpg,train
image(4).jpg,train
image(5).jpg,train
image(6).jpg,train
image(7).jpg,train
image(9).jpg,train
image(11).jpg,train
image(12).jpg,train
image(13).jpg,train
image(14).jpg,train
image(16).jpg,train
image(18).jpg,train
image(19).jpg,train
image(20).jpg,train
image(22).jpg,train
image(23).jpg,train
image(24).jpg,train
image(25).jpg,train
image(26).jpg,train
image(27).jpg,train
image(28).jpg,train
image(31).jpg,train
image(32).jpg,train
image(33).jpg,train
image(37).jpg,train
image(38).jpg,train
image(39).jpg,train
image(40).jpg,train
image(41).jpg,train
image(44).jpg,train
image(45).jpg,train
image(46).jpg,train
image(48).jpg,train
image(51).jpg,train
image(52).jpg,train
image(55).jpg,train
image(57).jpg,train
image(58).jpg,train
image(59).jpg,train
image(60).jpg,train
image(61).jpg,train
image(62).jpg,train
image(63).jpg,train
image(64).jpg,train
image(67).jpg,train
image(68).jpg,train
image(69).jpg,train
image(70).jpg,train
image(71).jpg,train
image(72).jpg,train
image(73).jpg,train
image(74).jpg,train
image(77).jpg,train
image(79).jpg,train
image(80).jpg,train
image(81).jpg,train
image(82).jpg,train
image(83).jpg,train
image(84).jpg,train
image(88).jpg,train
image(91).jpg,train
image(92).jpg,train
image(94).jpg,train
image(95).jpg,train
image(96).jpg,train
image(97).jpg,train
image(98).jpg,train
image(99).jpg,train
image(100).jpg,train
image(101).jpg,train
image(102).jpg,train
image(104).jpg,train
image(105).jpg,train
image(107).jpg,train
image(109).jpg,train
image(111).jpg,train
image(115).jpg,train
image(116).jpg,train
image(117).jpg,train
image(118).jpg,train
image(122).jpg,train
image(123).jpg,train
image(125).jpg,train
image(126).jpg,train
image(128).jpg,train
image(129).jpg,train
image(131).jpg,train
image(132).jpg,train
image(133).jpg,train
image(134).jpg,train
image(135).jpg,train
image(136).jpg,train
image(137).jpg,train
image(138).jpg,train
image(139).jpg,train
image(140).jpg,train
image(141).jpg,train
image(142).jpg,train
image(143).jpg,train
image(146).jpg,train
image(149).jpg,train
image(150).jpg,train
image(151).jpg,train
image(153).jpg,train
image(155).jpg,train
image(156).jpg,train
image(159).jpg,train
image(160).jpg,train
image(161).jpg,train
image(164).jpg,train
image(2).jpg,val
image(8).jpg,val
image(10).jpg,val
image(17).jpg,val
image(29).jpg,val
image(30).jpg,val
image(35).jpg,val
image(42).jpg,val
image(49).jpg,val
image(56).jpg,val
image(65).jpg,val
image(66).jpg,val
image(75).jpg,val
image(85).jpg,val
image(86).jpg,val
image(89).jpg,val
image(90).jpg,val
image(106).jpg,val
image(110).jpg,val
image(127).jpg,val
image(145).jpg,val
image(154).jpg,val
image(157).jpg,val
image(162).jpg,val
image(163).jpg,val
image(165).jpg,val
